ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Concept_Count,Word_Count
Anuta,Anuta,anut1237,Anuta,aud,Papunesia,-11.61,169.85,Austronesian,196,222
AustralA,Austral (Ra'ivavae),raiv1237,Raivavae,aut,Papunesia,-23.865,-147.6609,Austronesian,192,200
AustralB,Austral (Rurutuan),ruru1237,Rurutu,aut,Papunesia,-22.4801,-151.3385,Austronesian,210,262
EastFutuna,East Futuna,east2447,East Futuna,fud,Papunesia,-14.278717,-178.137222,Austronesian,209,279
Emae,Emae,emae1237,Emae,mmw,Papunesia,-17.052,168.399,Austronesian,178,189
FutunaAniwa,Futuna-Aniwa,futu1245,Futuna-Aniwa,fut,Papunesia,-19.5303,170.215,Austronesian,202,240
Hawaiian,Hawaiian,hawa1245,Hawaiian,haw,Papunesia,19.6297,-155.43,Austronesian,210,235
Kapingamarangi,Kapingamarangi,kapi1249,Kapingamarangi,kpg,Papunesia,1.039166,154.797223,Austronesian,189,212
Luangiua,Luangiua,onto1237,Luangiua,ojv,Papunesia,-5.49029,159.701,Austronesian,194,217
Mangareva,Mangareva,mang1401,Mangareva,mrv,Papunesia,-23.1095,-134.97,Austronesian,203,251
Maori,Maori,maor1246,Maori,mri,Papunesia,-38.2881,176.541,Austronesian,210,227
MeleFila,Mele-Fila,mele1250,Mele-Fila,mxe,Papunesia,-17.6841,168.275,Austronesian,180,189
Niuean,Niuean,niue1239,Niuean,niu,Papunesia,-19.06,-169.86,Austronesian,197,239
NorthMarquesan,North Marquesan,nort2845,North Marquesan,mrq,Papunesia,-8.89412,-140.108,Austronesian,207,287
Nukuria,Nukuria,nuku1259,Nukuria,nur,Papunesia,-3.40038,154.731,Austronesian,209,258
Penrhyn,Penrhyn,penr1237,Māngarongaro,pnh,Papunesia,-9.082238,-157.922908,Austronesian,187,203
Pukapuka,Pukapuka,puka1242,Pukapuka,pkp,Papunesia,-10.91,-165.83,Austronesian,209,311
RakahangaManihiki,RakahangaManihiki,raka1237,Rakahanga-Manihiki,rkh,Papunesia,-10.03,-161.09,Austronesian,182,267
Rapanui,Rapanui,rapa1244,Rapanui,rap,Papunesia,-27.113,-109.342,Austronesian,204,252
Rarotongan,Rarotongan,raro1241,Southern Cook Island Maori,rar,Papunesia,-21.23,-159.78,Austronesian,210,298
RennellBellona,RennellBellona,renn1242,Rennell-Bellona,mnv,Papunesia,-11.6237,160.265,Austronesian,206,250
Samoan,Samoan,samo1305,Samoan,smo,Papunesia,-13.92,-171.83,Austronesian,210,292
Sikaiana,Sikaiana,sika1261,Sikaiana,sky,Papunesia,-8.378194,162.72952,Austronesian,194,216
Tahitian,Tahitian,tahi1242,Tahitian,tah,Papunesia,-17.6485,-149.45,Austronesian,209,237
Tikopia,Tikopia,tiko1237,Tikopia,tkp,Papunesia,-12.2766,168.822,Austronesian,201,243
TongatongaIslands,Tongan,tong1325,Tonga (Tonga Islands),ton,Papunesia,-21.17,-175.25,Austronesian,210,222
Tuamotuan,Tuamotuan,tuam1242,Tuamotuan,pmt,Papunesia,-16.17259,-146.321755,Austronesian,199,257
Tuvalu,Tuvalu,tuva1244,Tuvalu,tvl,Papunesia,-8.520813,179.198088,Austronesian,191,255
VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Papunesia,-10.173335,166.247188,Austronesian,204,243
Wallisian,Wallisian,wall1257,East Uvean,wls,Papunesia,-13.2903,-176.207,Austronesian,198,255
